Natura Cosmeticos SA,NATU3,"B3 S.A. - Brasil, Bolsa,",Large Growth,"Personal Care, Drug",Personal care,,,,,,
,,Balcão,,& Grocery Stores,,,,,,,
,,,,,7,,,,,,
2020-2021 Wharton Global High School Investment Competition Approved Stock List,,,,,,,,,,,
,,,EQUITY,RUSSELL ,RUSSELL INDUST,,,,,,
COMPANY NAME,TICKER,EXCHANGE,STYLE,SUB-SECTOR,RY,,,,,,
Nestle India Ltd,500790,BSE LTD,Large Growth,"Food, Beverage &",Foods,,,,,,
,,,,Tobacco,,,,,,,
PepsiCo Inc,PEP,Nasdaq,Large Value,"Food, Beverage &",Beverage: Soft,,,,,,
,,,,Tobacco,drinks,,,,,,
Procter & Gamble Co,PG,New York Stock,Large Value,"Personal Care, Drug",Personal care,,,,,,
,,"Exchange, Inc.",,& Grocery Stores,,,,,,,
Raia Drogasil SA,RADL3,"B3 S.A. - Brasil, Bolsa,",Large Growth,"Personal Care, Drug",Drug and grocery,,,,,,
,,Balcão,,& Grocery Stores,store chains,,,,,,
Reckitt Benckiser,RB.,London Stock Exchange,Large Blend,"Personal Care, Drug",Personal care,,,,,,
Group PLC,,,,& Grocery Stores,,,,,,,
Rite Aid Corp,RAD,New York Stock,Small Value,"Personal Care, Drug",Drug and grocery,,,,,,
,,"Exchange, Inc.",,& Grocery Stores,store chains,,,,,,
Sainsbury (J) PLC,SBRY,London Stock Exchange,Mid Value,"Personal Care, Drug",Drug and grocery,,,,,,
,,,,& Grocery Stores,store chains,,,,,,
Sprouts Farmers,SFM,Nasdaq,Small Blend,"Personal Care, Drug",Drug and grocery,,,,,,
Market Inc,,,,& Grocery Stores,store chains,,,,,,
Sysco Corp,SYY,New York Stock,Large Value,"Food, Beverage &",Foods,,,,,,
,,"Exchange, Inc.",,Tobacco,,,,,,,
The Hershey Co,HSY,New York Stock,Large Blend,"Food, Beverage &",Foods,,,,,,
,,"Exchange, Inc.",,Tobacco,,,,,,,
Tootsie Roll Industries,TR,New York Stock,Small Blend,"Food, Beverage &",Foods,,,,,,
Inc,,"Exchange, Inc.",,Tobacco,,,,,,,
Treehouse Foods Inc,THS,New York Stock,Small Value,"Food, Beverage &",Foods,,,,,,
,,"Exchange, Inc.",,Tobacco,,,,,,,
Tyson Foods Inc,TSN,New York Stock,Mid Value,"Food, Beverage &",Foods,,,,,,
,,"Exchange, Inc.",,Tobacco,,,,,,,
Unilever PLC,ULVR,London Stock Exchange,Large Value,"Personal Care, Drug",Personal care,,,,,,
,,,,& Grocery Stores,,,,,,,
Unilever PLC,UL,New York Stock,Large Value,"Personal Care, Drug",Personal care,,,,,,
,,"Exchange, Inc.",,& Grocery Stores,,,,,,,
United Natural Foods,UNFI,New York Stock,Small Value,"Food, Beverage &",Foods,,,,,,
Inc,,"Exchange, Inc.",,Tobacco,,,,,,,
WD-40 Co,WDFC,Nasdaq,Small Blend,"Personal Care, Drug",Personal care,,,,,,
,,,,& Grocery Stores,,,,,,,
Wuliangye Yibin Co,858,Shenzhen Stock Exchange,Large Growth,"Food, Beverage &",Beverage: Brewers,,,,,,
Ltd,,,,Tobacco,and distillers,,,,,,
Wynnstay Group PLC,WYN,London Stock Exchange,Small Value,"Food, Beverage &",Foods,,,,,,
,,,,Tobacco,,,,,,,
Zenabis Global Inc,ZENA,Toronto Stock Exchange,Small Value,"Food, Beverage &",Agriculture fishing,,,,,,
,,,,Tobacco,and ranching,,,,,,
8,,,,,,,,,,,
,,,,,,,,2020-2021 Wharton Global High School Investment Competition Approved Stock List,,,
EQUITY,RUSSELL ,RUSSELL INDUST,,,,ENERGY,,,,,
COMPANY NAME,TICKER,EXCHANGE,STYLE,SUB-SECTOR,RY,,,,EQUITY,RUSSELL ,RUSSELL
Nestle India Ltd,500790,BSE LTD,Large Growth,"Food, Beverage &",Foods,COMPANY NAME,TICKER,EXCHANGE,STYLE,SUB-SECTOR,INDUSTRY
Tobacco,,,,,,,,,,,
,,,,,,Aemetis Inc,AMTX,Nasdaq,Small Blend,Alternative Energy,Alternative energy
PepsiCo Inc,PEP,Nasdaq,Large Value,"Food, Beverage &",Beverage: Soft,,,,,,
,,,,,,BP PLC,BP,New York Stock,Large Blend,Non-renewable,Oil: Integrated
Tobacco,drinks,,,,,,,,,,
,,,,,,,,"Exchange, Inc.",,Energy,
Procter & Gamble Co,PG,New York Stock,Large Value,"Personal Care, Drug",Personal care,,,,,,
,,,,,,Cameco Corp,CCJ,New York Stock,Mid Growth,Alternative Energy,Alternative energy
"Exchange, Inc.",& Grocery Stores,,,,,,,,,,
,,,,,,,,"Exchange, Inc.",,,
Raia Drogasil SA,RADL3,"B3 S.A. - Brasil, Bolsa,",Large Growth,"Personal Care, Drug",Drug and grocery,,,,,,
,,,,,,Canadian Natural,CNQ,Toronto Stock Exchange,Large Value,Non-renewable,Oil: Crude
Balcão,& Grocery Stores,store chains,,,,,,,,,
,,,,,,Resources Ltd,,,,Energy,producers
Reckitt Benckiser,RB.,London Stock Exchange,Large Blend,"Personal Care, Drug",Personal care,,,,,,
,,,,,,Chevron Corp,CVX,New York Stock,Large Blend,Non-renewable,Oil: Integrated
Group PLC,& Grocery Stores,,,,,,,,,,
,,,,,,,,"Exchange, Inc.",,Energy,
Rite Aid Corp,RAD,New York Stock,Small Value,"Personal Care, Drug",Drug and grocery,,,,,,
,,,,,,China Petroleum &,386,Hong Kong Exchanges,Large Value,Non-renewable,Oil: Integrated
"Exchange, Inc.",& Grocery Stores,store chains,,,,,,,,,
,,,,,,Chemical Corp,,And Clearing Ltd,,Energy,
Sainsbury (J) PLC,SBRY,London Stock Exchange,Mid Value,"Personal Care, Drug",Drug and grocery,,,,,,
,,,,,,China Petroleum &,SNP,New York Stock,Large Value,Non-renewable,Oil: Integrated
& Grocery Stores,store chains,,,,,,,,,,
,,,,,,Chemical Corp,,"Exchange, Inc.",,Energy,
Sprouts Farmers,SFM,Nasdaq,Small Blend,"Personal Care, Drug",Drug and grocery,,,,,,
,,,,,,CNOOC Ltd,CEO,New York Stock,Large Blend,Non-renewable,Oil: Crude
Market Inc,& Grocery Stores,store chains,,,,,,,,,
,,,,,,,,"Exchange, Inc.",,Energy,producers
Sysco Corp,SYY,New York Stock,Large Value,"Food, Beverage &",Foods,,,,,,
,,,,,,Coal India Ltd,533278,BSE LTD,Large Value,Non-renewable,Coal
"Exchange, Inc.",Tobacco,,,,,,,,,,
,,,,,,,,,,Energy,
The Hershey Co,HSY,New York Stock,Large Blend,"Food, Beverage &",Foods,,,,,,
,,,,,,Continental Resources,CLR,New York Stock,Mid Value,Non-renewable,Oil: Crude
"Exchange, Inc.",Tobacco,,,,,,,,,,
,,,,,,Inc,,"Exchange, Inc.",,Energy,producers
Tootsie Roll Industries,TR,New York Stock,Small Blend,"Food, Beverage &",Foods,,,,,,
,,,,,,Cosan SA,CSAN3,"B3 S.A. - Brasil, Bolsa,",Large Blend,Alternative Energy,Alternative energy
Inc,"Exchange, Inc.",Tobacco,,,,,,,,,
,,,,,,,,Balcão,,,
Treehouse Foods Inc,THS,New York Stock,Small Value,"Food, Beverage &",Foods,,,,,,
,,,,,,Energy Transfer LP,ET,New York Stock,Mid Value,Non-renewable,Gas pipeline
