Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,,index
FCX,2.7815,-0.0492,0.2,0.0348,-0.0353,2.577060532,7.235277766,1.334162174,1.355176055
CORE,2.2191,0.0045,2.72,0.0165,0.1017,2.314740369,0.371793899,1.083162497,1.353439865
ZNH,0.7745,-0.0599,0.6871,0.0164,-0.1019,3.46534847,10.30176699,1.712307916,1.352336235
KALU,1.3883,0.0269,2.24,0.0412,0.0509,1.571508069,1.399655989,0.961771364,1.350468031
GILD,4.3119,-0.0116,0.4355,0.0449,-0.014,2.096410939,3.355568662,1.020585115,1.348365268
ARCB,1.1585,0.0101,3,0.0098,0.0376,1.329418094,1.669022938,1.1296282,1.344711266
NFG,1.7301,0.0445,2.05,0.043,0.0316,2.198311931,0.024775144,0.827845972,1.341235078
CNC,1.5231,0.018,0.888,0,0.0825,1.721823116,0.440053943,0.544900322,1.338769183
UBS,0.7195,0.1556,1.443,0.0307,0.0834,17.65269839,-3.975372811,1.384311134,1.337968093
LE,1.3677,0.0091,4.02,0,0.0396,2.381300226,-0.065517176,1.266233957,1.33781662
CLW,1.4083,0.0131,4.05,0,0.0533,2.911427358,-0.706181754,1.245592378,1.337680245
SKYW,0.7168,0.0651,1.02,0.0206,0.0802,2.049429248,-1.684325474,0.292907283,1.332571071
ACHC,1.2019,0.0343,1.32,0,0.0434,1.716089078,0.188884506,0.587073267,1.331951461
NP,1.8473,-0.0044,1.85,0.0478,-0.0097,1.660335196,1.052415592,0.853992687,1.330718355
JBLU,0.8191,-0.0405,6.8,0,-0.0546,2.1358085,1.50313248,2.031368578,1.329269275
GSH,0.2939,-0.034,0.812,0.0488,-0.0218,0.295587821,3.523657156,0.660933884,1.328279991
URBN,1.7717,-0.0081,2.8124,0,-0.0213,1.536128945,1.024242084,1.056955366,1.325061422
VRA,0.8438,0.0092,1.31,0,0.0145,1,1,0.586276,1.324992041
KWR,3.0045,-0.0246,2.67,0.0082,-0.0415,1.460426649,1.121443711,1.121315377,1.324338038
IOSP,1.7371,0.0396,-2.95,0.0154,0.062,0.46786032,0.171887409,-0.490392685,1.322839374
WYND,0,0.0017,1,0.0368,0,-8.18844697,1,-0.290387758,1.320313043
VOD,0.5313,-0.0205,0.6057,0.0686,-0.0072,1.718661456,1,0.448876916,1.31961988
SWBI,2.1341,-0.0129,1,0.012,-0.0244,0.505883564,1,0.565694685,1.318566117
CTVA,1.0359,0.0368,1.2852,0.0155,0.0188,0.707585196,-1.68090835,0.257725814,1.316211003
CHNR,0,0.0022,1,0,0,-1.159131862,1,0.267621451,1.3156
NCTY,0,0,1,0,0,-1.684521586,1,0.225238273,1.315217391
